OID_,id,gid,Latitude,Longitude,area_or_ams_map,twn_rng_sec,county,state,tect_prov,location_notes,meas_date,drill_date,collar_elevation,drill_depth,water_table,surf_temp,min_temp,max_temp,bot_temp,interval_id,depth,bottom,geoth_grad,geoth_grad_sym,geoth_grad_std_err,cgeoth_grad,cgeoth_grad_sym,cgeoth_grad_std_err,GeothermGrad,smu_id
362,909d6c11-0b9f-3952-bee8-a50125cef9e4,NM-00298,34.025088199999999,-107.013889699999993,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/1/1980 0:00:00,,1725.000000000000000,,,,,,,a,488.000000000000000,579.000000000000000,13.600000000000000,,,13.600000000000000,,0.300000000000000,13.600000000000000,SMU 100583
363,d67abe48-516b-3e66-8ddb-27e61f9e13ce,NM-00299,31.888935300000000,-108.762624000000002,ANIMAS,28S/19W-11B,,NM,BASIN AND RANGE,,1/1/1980 0:00:00,,,,,,,,22.199999999999999,b,,,33.799999999999997,,,,,,33.799999999999997,SMU 100563
364,d67abe48-516b-3e66-8ddb-27e61f9e13ce,NM-00299,31.888935300000000,-108.762624000000002,ANIMAS,28S/19W-11B,,NM,BASIN AND RANGE,,1/1/1980 0:00:00,,,,,,,,22.199999999999999,a,,,22.399999999999999,,,,,,22.399999999999999,SMU 100563
365,523cb8b6-653c-3899-a278-e1de18de6d15,NM-00300,35.490045899999998,-108.750650300000004,ZUNI PROSPECT,,,NM,COLORADO PLATEAU,,1/1/1980 0:00:00,,,131.099999999999994,,,,21.980000000000000,16.210000000000001,b,0.000000000000000,67.000000000000000,0.000000000000000,I,,,,,0.000000000000000,SMU 1609
366,523cb8b6-653c-3899-a278-e1de18de6d15,NM-00300,35.490045899999998,-108.750650300000004,ZUNI PROSPECT,,,NM,COLORADO PLATEAU,,1/1/1980 0:00:00,,,131.099999999999994,,,,21.980000000000000,16.210000000000001,a,67.099999999999994,131.099999999999994,32.000000000000000,,,,,,32.000000000000000,SMU 1609
367,b058d700-8554-3b5e-bff7-1a5b44848b11,NM-00301,34.016788400000003,-107.005589400000005,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/1/1980 0:00:00,,1707.000000000000000,,,,,,,a,18.000000000000000,137.000000000000000,36.000000000000000,,,36.000000000000000,,0.400000000000000,36.000000000000000,SMU 100583
368,a96364a5-351c-3ad7-ae69-b103af17d0d1,NM-00304,34.008388699999998,-106.995589100000004,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/1/1980 0:00:00,,1701.000000000000000,,,,,,,a,34.000000000000000,149.000000000000000,45.000000000000000,,,45.000000000000000,,0.500000000000000,45.000000000000000,SMU 100583
369,bd25899e-d8fa-3a5b-9ced-25ae168484ef,NM-00307,34.035088100000003,-106.985589000000004,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/24/1973 0:00:00,,1725.000000000000000,,,,,,,d,415.000000000000000,524.000000000000000,0.500000000000000,,,0.500000000000000,,0.400000000000000,0.500000000000000,SMU 100583
370,bd25899e-d8fa-3a5b-9ced-25ae168484ef,NM-00307,34.035088100000003,-106.985589000000004,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/24/1973 0:00:00,,1725.000000000000000,,,,,,,c,378.000000000000000,408.000000000000000,33.100000000000001,,,33.100000000000001,,0.600000000000000,33.100000000000001,SMU 100583
371,bd25899e-d8fa-3a5b-9ced-25ae168484ef,NM-00307,34.035088100000003,-106.985589000000004,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/24/1973 0:00:00,,1725.000000000000000,,,,,,,b,183.000000000000000,372.000000000000000,60.899999999999999,,,60.899999999999999,,0.300000000000000,60.899999999999999,SMU 100583
372,bd25899e-d8fa-3a5b-9ced-25ae168484ef,NM-00307,34.035088100000003,-106.985589000000004,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/24/1973 0:00:00,,1725.000000000000000,,,,,,,a,530.000000000000000,554.000000000000000,24.600000000000001,,,24.600000000000001,,1.400000000000000,24.600000000000001,SMU 100583
373,32a7e7fc-6e47-3ccc-a074-31e8ae886c1f,NM-00310,34.033388199999997,-106.970588500000005,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/3/1974 0:00:00,,1707.000000000000000,,,,,,,c,408.000000000000000,530.000000000000000,32.299999999999997,,,32.299999999999997,,0.400000000000000,32.299999999999997,SMU 100583
374,32a7e7fc-6e47-3ccc-a074-31e8ae886c1f,NM-00310,34.033388199999997,-106.970588500000005,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/3/1974 0:00:00,,1707.000000000000000,,,,,,,b,18.000000000000000,371.000000000000000,50.100000000000001,,,50.100000000000001,,0.200000000000000,50.100000000000001,SMU 100583
375,32a7e7fc-6e47-3ccc-a074-31e8ae886c1f,NM-00310,34.033388199999997,-106.970588500000005,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/3/1974 0:00:00,,1707.000000000000000,,,,,,,a,543.000000000000000,585.000000000000000,0.900000000000000,,,0.900000000000000,,1.800000000000000,0.900000000000000,SMU 100583
376,9f09d253-67aa-367d-a2ab-24e8dcde3e61,NM-00321,31.908834299999999,-108.844626399999996,ANIMAS,27S/20W-36C,,NM,BASIN AND RANGE,,1/11/1974 0:00:00,,,,,,,,26.399999999999999,a,,,77.500000000000000,,,,,,77.500000000000000,SMU 100563
377,0926f405-1827-3c99-b87d-41a40a432e08,NM-00326,33.998389000000003,-106.965588100000005,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/5/1974 0:00:00,,1622.000000000000000,,,,,,,a,24.000000000000000,146.000000000000000,31.100000000000001,,,31.100000000000001,,0.200000000000000,31.100000000000001,SMU 100583
378,7a23c5aa-0f0b-3835-9f90-72e7f28016f8,NM-00333,34.066787499999997,-106.938887899999997,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/5/1974 0:00:00,,1470.000000000000000,,,,,,,c,49.000000000000000,85.000000000000000,97.099999999999994,,,97.099999999999994,,1.900000000000000,97.099999999999994,SMU 100583
379,7a23c5aa-0f0b-3835-9f90-72e7f28016f8,NM-00333,34.066787499999997,-106.938887899999997,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/5/1974 0:00:00,,1470.000000000000000,,,,,,,b,12.000000000000000,43.000000000000000,118.000000000000000,,,118.000000000000000,,2.800000000000000,118.000000000000000,SMU 100583
380,7a23c5aa-0f0b-3835-9f90-72e7f28016f8,NM-00333,34.066787499999997,-106.938887899999997,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/5/1974 0:00:00,,1470.000000000000000,,,,,,,a,85.000000000000000,116.000000000000000,66.599999999999994,,,66.599999999999994,,2.500000000000000,66.599999999999994,SMU 100583
381,18648b4f-f174-3864-8f0c-a44b0448a651,NM-00336,32.146327900000003,-108.802626900000007,ANIMAS,25S/19W-9B,,NM,BASIN AND RANGE,,,,,,,,,,24.199999999999999,a,,,44.100000000000001,,,,,,44.100000000000001,SMU 100563
382,eb8d3d6a-22ba-3337-bdc3-d3f1bbebe928,NM-00338,34.125086099999997,-106.948888499999995,SOCORRO PROSPECT,2S/1W-21,,NM,BASIN AND RANGE,,1/28/1977 0:00:00,1/5/1977 0:00:00,1500.000000000000000,70.000000000000000,,,,21.550000000000001,21.550000000000001,b,12.000000000000000,24.000000000000000,54.100000000000001,,,54.100000000000001,,0.700000000000000,54.100000000000001,SMU 100583
383,eb8d3d6a-22ba-3337-bdc3-d3f1bbebe928,NM-00338,34.125086099999997,-106.948888499999995,SOCORRO PROSPECT,2S/1W-21,,NM,BASIN AND RANGE,,1/28/1977 0:00:00,1/5/1977 0:00:00,1500.000000000000000,70.000000000000000,,,,21.550000000000001,21.550000000000001,a,27.000000000000000,67.000000000000000,38.500000000000000,,,38.500000000000000,,0.200000000000000,38.500000000000000,SMU 100583
384,d2b04dea-6390-35ce-b22b-16738bdfac46,NM-00361,31.953833400000001,-108.780624900000007,ANIMAS,27S/19W-15C,,NM,BASIN AND RANGE,,,,,,,,,,23.000000000000000,b,,,53.000000000000000,,,,,,53.000000000000000,SMU 100563
385,d2b04dea-6390-35ce-b22b-16738bdfac46,NM-00361,31.953833400000001,-108.780624900000007,ANIMAS,27S/19W-15C,,NM,BASIN AND RANGE,,,,,,,,,,23.000000000000000,a,,,22.199999999999999,,,,,,22.199999999999999,SMU 100563
386,7a5b07ae-d503-3773-af48-0c4f205cd0a3,NM-00362,31.953833400000001,-108.767624600000005,ANIMAS,27S/19W-15D,,NM,BASIN AND RANGE,,,,,,,,,,21.600000000000001,a,,,36.000000000000000,,,,,,36.000000000000000,SMU 100563
387,ff947405-c90e-32ba-be8f-ac780cac4935,NM-00367,31.876035099999999,-108.876627099999993,ANIMAS,28S/20W-15B,,NM,BASIN AND RANGE,,,,,,,,,,22.100000000000001,a,,,27.699999999999999,,,,,,27.699999999999999,SMU 100563
388,066230cc-1c85-38be-8939-c76ad6ae5e97,NM-00374,32.165627200000003,-108.847628200000003,ANIMAS,25S/20W-1A,,NM,BASIN AND RANGE,,,,,,,,,,32.000000000000000,c,,,137.500000000000000,,,,,,137.500000000000000,SMU 100563
389,066230cc-1c85-38be-8939-c76ad6ae5e97,NM-00374,32.165627200000003,-108.847628200000003,ANIMAS,25S/20W-1A,,NM,BASIN AND RANGE,,,,,,,,,,32.000000000000000,b,,,173.000000000000000,*,,,,,173.000000000000000,SMU 100563
390,066230cc-1c85-38be-8939-c76ad6ae5e97,NM-00374,32.165627200000003,-108.847628200000003,ANIMAS,25S/20W-1A,,NM,BASIN AND RANGE,,,,,,,,,,32.000000000000000,a,,,95.000000000000000,,,,,,95.000000000000000,SMU 100563
391,9e4d488f-32df-3470-9ef9-22432da191e6,NM-00380,32.139227900000002,-108.852628199999998,ANIMAS,25S/20W-12D,,NM,BASIN AND RANGE,,,,,,,,,,25.500000000000000,c,,,85.000000000000000,,,,,,85.000000000000000,SMU 100563
392,9e4d488f-32df-3470-9ef9-22432da191e6,NM-00380,32.139227900000002,-108.852628199999998,ANIMAS,25S/20W-12D,,NM,BASIN AND RANGE,,,,,,,,,,25.500000000000000,b,,,152.500000000000000,,,,,,152.500000000000000,SMU 100563
393,9e4d488f-32df-3470-9ef9-22432da191e6,NM-00380,32.139227900000002,-108.852628199999998,ANIMAS,25S/20W-12D,,NM,BASIN AND RANGE,,,,,,,,,,25.500000000000000,a,,,56.000000000000000,,,,,,56.000000000000000,SMU 100563
394,d858420e-ef8d-3b1f-a109-ebe0b60b0250,NM-00381,32.127528300000002,-108.841627799999998,ANIMAS,25S/19W-18C,,NM,BASIN AND RANGE,,,,,,,,,,25.600000000000001,b,,,73.000000000000000,*,,,,,73.000000000000000,SMU 100563
395,d858420e-ef8d-3b1f-a109-ebe0b60b0250,NM-00381,32.127528300000002,-108.841627799999998,ANIMAS,25S/19W-18C,,NM,BASIN AND RANGE,,,,,,,,,,25.600000000000001,a,,,44.000000000000000,,,,,,44.000000000000000,SMU 100563
396,2cc25391-1c4c-3e65-8b6b-47a5f2c166d0,NM-00384,32.426826400000003,-107.540593799999996,FLORIDA NEW MEXICO,22S/7E-2B,,NM,BASIN AND RANGE,,,,,75.000000000000000,,,,,22.000000000000000,a,0.000000000000000,75.000000000000000,25.000000000000000,,,,,,25.000000000000000,SMU 100569
397,ac15cfaf-0371-38b7-a91a-5b5172fc3e21,NM-00390,33.983386199999998,-107.628906900000004,TRES MONTOSAS NEW MEXICO,4S/8W-2D,,NM,BASIN AND RANGE,,,,,130.000000000000000,,,,,20.600000000000001,a,0.000000000000000,130.000000000000000,57.000000000000000,,,,,,57.000000000000000,SMU 100572
398,bf7d6a6e-3591-34cb-9dcb-4cb9f094b2bc,NM-00394,34.146782999999999,-107.475603699999994,TRES MONTOSAS NEW MEXICO,2S/6W-10,,NM,BASIN AND RANGE,,,,,55.000000000000000,,,,,14.600000000000000,a,0.000000000000000,55.000000000000000,58.000000000000000,,,,,,58.000000000000000,SMU 100572
399,a521f947-d7b0-334c-8cad-6a07a3eb28f5,NM-00395,34.098383800000001,-107.542305200000001,TRES MONTOSAS NEW MEXICO,2S/7W-23CCC,,NM,BASIN AND RANGE,,,,,65.000000000000000,,,,,36.000000000000000,a,0.000000000000000,65.000000000000000,163.000000000000000,,,,,,163.000000000000000,SMU 100572
400,fd2e0ca5-ffb7-3bbc-b603-7767243aab7a,NM-00397,34.136782699999998,-107.592306899999997,TRES MONTOSAS NEW MEXICO,2S/7W-17B,,NM,BASIN AND RANGE,,,,,65.000000000000000,,,,,12.600000000000000,a,0.000000000000000,65.000000000000000,9.000000000000000,,,,,,9.000000000000000,SMU 100572
401,95c0949e-ea40-3f56-a4e4-9da2f1a59f13,NM-00400,33.880088100000002,-107.748909499999996,SAN AGUSTIN,5S/9W,,NM,BASIN AND RANGE,,,,,50.000000000000000,,,,,13.600000000000000,a,0.000000000000000,50.000000000000000,85.000000000000000,,,,,,85.000000000000000,SMU 1602
402,636cba1d-ca5b-3810-902c-272864dc624b,NM-00404,32.366820900000000,-109.000633800000003,SUMMIT NEW MEXICO,22S/21W,,NM,BASIN AND RANGE,,,,,,,,,,,a,0.000000000000000,30.000000000000000,145.000000000000000,,,,,,145.000000000000000,SMU 100574
403,c7d76a8e-5c9a-39f6-bd5b-9fb466aa513c,NM-00410,31.945943199999999,-106.732568200000003,STRAUSS PROSPECT  NEW MEXICO,27S/2E-22B,,NM,BASIN AND RANGE,,1/15/1977 0:00:00,1/8/1977 0:00:00,1256.000000000000000,151.400000000000006,,,,28.750000000000000,28.750000000000000,a,94.500000000000000,151.400000000000006,47.000000000000000,,,,,,47.000000000000000,SMU 1607
404,f7f2a114-e89e-3561-ad85-c281700a655f,NM-00412,31.923943999999999,-106.698567100000005,STRAUSS PROSPECT  NEW MEXICO,27S/2E-25C,,NM,BASIN AND RANGE,,1/17/1977 0:00:00,1/20/1977 0:00:00,1243.000000000000000,152.300000000000011,,,,28.059999999999999,28.059999999999999,a,106.599999999999994,152.300000000000011,41.899999999999999,,,,,,41.899999999999999,SMU 1607
405,1de75415-febf-30b6-93d4-4ded4ac8e749,NM-00438,34.956261699999999,-107.974423900000005,ZUNI PROSPECT,,,NM,COLORADO PLATEAU,,1/1/1978 0:00:00,,2271.000000000000000,91.500000000000000,,,,15.529999999999999,15.529999999999999,a,18.300000000000001,91.500000000000000,17.300000000000001,,,,,,17.300000000000001,SMU 1608
406,f57aa0c6-68db-309e-bd1f-fee93646f64c,NM-00439,34.935562200000000,-107.983823999999998,ZUNI PROSPECT,,,NM,COLORADO PLATEAU,,1/1/1978 0:00:00,,2155.000000000000000,109.799999999999997,,,,14.020000000000000,14.020000000000000,a,24.399999999999999,109.799999999999997,21.500000000000000,,,,,,21.500000000000000,SMU 1608
407,26039e41-aba8-3e30-8219-a6c620c6623a,NM-00458,32.220225800000001,-108.830428100000006,ANIMAS,24S/19W-18A,,NM,BASIN AND RANGE,,1/13/1977 0:00:00,,1295.000000000000000,152.400000000000006,61.000000000000000,,,24.340000000000000,24.340000000000000,a,60.899999999999999,152.400000000000006,35.000000000000000,,,,,,35.000000000000000,SMU 1511a
408,7e53ffa4-e8f2-333c-b330-e58abc2899bf,NM-00460,32.241424799999997,-108.910130499999994,ANIMAS,24S/20W-4C,,NM,BASIN AND RANGE,,1/13/1977 0:00:00,,,152.400000000000006,,,,25.840000000000000,25.840000000000000,a,36.590000000000003,152.400000000000006,60.880000000000003,,,,,,60.880000000000003,SMU 1511a
