OID_,Field1,Longitude,Latitude,Kriging_Predicted_Gradient
1,0,-107.595398599999996,32.916413200000001,78.8824234
2,1,-108.500618399999993,32.125129999999999,50.6706085
3,2,-106.953888100000000,34.045088000000000,101.8561401
4,3,-108.789126800000005,32.185626900000003,255.1982117
5,4,-106.400560999999996,32.283435500000003,197.2677765
6,5,-108.217326500000013,34.383373700000000,38.2538605
7,6,-106.521575000000013,33.933392699999999,59.1147003
8,7,-108.842627600000000,32.100628999999998,254.7962799
9,8,-108.833626800000005,32.008831600000001,57.4061661
10,9,-108.375614900000002,32.125130599999999,45.3281174
11,10,-107.417389900000003,32.364928599999999,70.5949097
12,11,-107.233885200000003,32.416828099999996,56.1695824
13,12,-107.250588699999994,32.883415700000000,44.6984291
14,13,-106.667265999999998,31.883445200000001,88.5089645
15,14,-108.625623500000003,32.375122500000003,45.2044868
16,15,-106.693567200000004,31.957843100000002,72.3323746
17,16,-107.767319099999995,35.116759199999997,24.4224911
18,17,-108.838627799999998,32.139527899999997,350.9950256
19,18,-106.867277400000006,32.800119600000002,72.8127518
20,19,-106.983874799999995,31.883443799999998,55.8265533
21,20,-108.811627000000001,32.133928200000000,289.9534912
22,21,-107.233286000000007,32.549224500000001,52.8379288
23,22,-108.117323099999993,34.316775800000002,46.1947975
24,23,-107.042290499999993,34.016788200000001,39.0943527
25,24,-107.540593799999996,32.426826400000003,67.7819290
26,25,-107.464003599999998,34.174782399999998,77.3760376
27,26,-107.107786300000001,33.128210000000003,37.7294998
28,27,-106.717269900000005,32.283434100000001,246.0448303
29,28,-106.920587299999994,34.061787699999996,110.9574356
30,29,-108.876627099999993,31.876035099999999,54.8161774
31,30,-108.690622000000005,31.889535599999999,53.7952805
32,31,-107.823305700000006,33.024709199999997,74.2745361
33,32,-108.811626300000000,32.029631100000003,77.3641663
34,33,-108.830428100000006,32.220225800000001,196.9344330
35,34,-106.975589200000002,34.113386200000001,82.9598160
36,35,-108.843628300000006,32.188026600000001,328.0659180
37,36,-106.942287500000006,34.003388999999999,80.8370056
38,37,-107.332998900000007,34.036286400000002,74.9724579
39,38,-106.916574499999996,32.134437200000001,57.0971718
40,39,-108.690640099999996,34.410070599999997,34.3657837
41,40,-106.970588500000005,34.033388199999997,83.8737564
42,41,-107.957806100000013,32.539321399999999,59.7149544
43,42,-107.987707000000000,32.550720900000002,58.6387634
44,43,-107.350397599999994,33.782992399999998,61.0506554
45,44,-108.706331199999994,33.148501699999997,50.1838760
46,45,-108.673621999999995,31.960933699999998,53.0123215
47,46,-107.236397699999998,34.264681400000001,53.5456009
48,47,-106.717769800000013,32.267334499999997,245.7110901
49,48,-107.236785200000000,32.411328200000000,57.1264076
50,49,-108.821627300000003,32.141128000000002,324.6162415
51,50,-107.176286500000003,32.868916400000003,45.1933975
52,51,-106.940587600000001,34.025088500000003,92.1999359
53,52,-108.813625700000003,31.926933999999999,52.9795380
54,53,-107.505593700000006,32.560122999999997,68.6961288
55,54,-106.714682200000013,34.175685999999999,68.6972504
56,55,-107.795597400000005,31.900139599999999,51.5192909
57,56,-107.242683499999998,32.123736000000001,79.2729492
58,57,-107.575192200000004,32.037836800000001,64.8673019
59,58,-107.327692000000013,33.057410800000000,46.5559311
60,59,-108.848628000000005,32.121628399999999,308.6720276
61,60,-107.927705099999997,32.512122300000001,61.3481407
62,61,-108.067311000000004,32.800113899999999,55.1208839
63,62,-108.105813999999995,33.085306299999999,55.3031387
64,63,-108.930635300000006,32.843441800000001,54.3742447
65,64,-107.028890399999995,34.063387200000001,37.8161430
66,65,-106.942288000000005,34.071787399999998,114.1481400
67,66,-108.794626899999997,32.181527000000003,274.0105591
68,67,-107.065591299999994,34.043387500000001,35.2474442
69,68,-108.867628100000005,32.072129699999998,228.1565399
70,69,-106.433374299999997,34.202186699999999,47.9258804
71,70,-107.085178600000006,32.045038900000002,55.3709831
72,71,-108.899628600000000,32.013431099999998,73.0262756
73,72,-106.867273800000007,32.233434699999997,155.3889465
74,73,-107.293498099999994,34.084285399999999,63.5884590
75,74,-106.450563300000013,32.433431200000001,157.9082947
76,75,-108.825627699999998,32.183526800000003,326.5036316
