Latitude,Longitude,Timestamp,Magnitude
34.42533333,-106.9086667,2/7/1966 9:10,2.6
36.99,-107.03,2/11/1966 6:22,1.3
36.96,-106.99,2/11/1966 12:08,2
36.97,-106.96,2/13/1966 6:01,1.9
36.97,-106.98,2/13/1966 6:21,1.8
36.98,-107.02,2/17/1966 0:27,2.7
36.98,-107.02,2/18/1966 17:56,2.5
36.9,-107,2/27/1966 18:07,3.1
36.98,-107.02,3/22/1966 4:39,2.5
37,-107.1,3/24/1966 8:24,2.4
37,-107,4/14/1966 15:07,3.2
35.32516667,-103.2656667,4/21/1966 14:14,3.4
37,-107.1,4/28/1966 11:07,2.2
36.8,-107.1,5/4/1966 5:40,2.7
36.9,-107,5/8/1966 17:23,3.6
37,-107,5/8/1966 17:50,3.5
37,-106.8,5/9/1966 1:26,2.7
36.9,-107,5/9/1966 2:08,2.8
37,-106.9,5/9/1966 2:57,3.4
36.9,-107,5/19/1966 0:26,3.7
36.9,-107,6/1/1966 17:17,3.1
36.9,-107,6/2/1966 21:59,3.1
36.9,-107,6/4/1966 10:29,3.4
36.9,-107.1,6/8/1966 23:33,2.4
36.9,-107.1,6/21/1966 5:24,2.7
36.9,-107.02,6/26/1966 18:41,2.8
36.9,-107,7/24/1966 2:48,2.7
36.9,-107.02,8/2/1966 13:54,2
36.6,-107.02,8/12/1966 9:18,2.6
32.00783333,-103.0101667,8/14/1966 15:25,3.9
30.48133333,-105.6988333,8/17/1966 18:47,3.5
30.3,-105.6,8/19/1966 4:15,4.3
30.3,-105.6,8/19/1966 8:38,3.6
32.64483333,-109.7295,9/17/1966 9:25,2.5
34.88866667,-103.9801667,9/17/1966 21:30,2.7
36.42516667,-105.0986667,9/24/1966 7:33,4.2
36.46983333,-105.3221667,9/24/1966 8:27,3.2
36.38816667,-105.1288333,9/25/1966 10:10,4.1
36.43233333,-105.1373333,9/25/1966 12:22,3.7
37.474,-104.1423333,10/3/1966 2:26,4.2
35.1335,-104.1218333,10/6/1966 6:29,2.9
34.03983333,-107.0728333,10/6/1966 10:19,2.5
30.94883333,-105.4438333,11/26/1966 20:05,3.5
30.4,-105.4,11/28/1966 2:20,3.8
30.5,-105.4,12/5/1966 10:10,3.7
36.98,-107.02,12/16/1966 2:00,3.7
36.98,-107.02,1/6/1967 15:41,2.9
34.43666667,-106.8558333,1/16/1967 18:14,2.4
33.1605,-108.5065,7/29/1967 5:49,2.5
32.186,-106.8813333,9/29/1967 3:52,2.4
36.7175,-105.4893333,11/25/1967 19:01,2.7
32.76866667,-106.0391667,3/9/1968 21:54,3.4
32.6675,-105.9086667,3/23/1968 11:53,2.6
33.09583333,-105.2393333,5/2/1968 2:56,2.6
34.27,-106.84,5/15/1968 10:13,3.2
34.47033333,-107.9228333,5/19/1968 11:02,2.8
