OID_,Field1,Longitude,Latitude,GeothermGrad,Kriging_Predicted_Gradient
197,196,-108.7833332,33.1305017,53.0118408,51.1152802
198,197,-107.5935058,33.9747866,100.8734741,96.148468
199,198,-107.9985255,35.0802588,18.5,20.8063717
200,199,-107.0005755,31.9168428,50.8337212,54.7489548
201,200,-106.8838803,33.1834096,34.1453056,37.8137512
202,201,-108.0963076,32.1771305,45.7166672,47.2798958
203,202,-107.6775061,33.6847932,83.8499985,72.8011932
204,203,-107.2720975,34.0828855,66.02771,57.6703491
205,204,-107.4489034,34.2098816,53.8560257,72.5608978
206,205,-108.3756175,32.5001204,38.5,41.8115082
207,206,-108.0506045,31.9101381,48.9749985,48.0608673
208,207,-106.867278,32.900117,56.2083778,57.6696548
209,208,-108.6256227,32.250126,38.0923195,81.9641113
210,209,-108.830627,32.0510304,72.6729431,183.9501648
211,210,-107.4703023,33.9767871,97.8288422,91.434967
212,211,-107.0322907,34.0967864,39.4851189,38.3191566
213,212,-108.7525324,33.1319019,53.0083351,50.5400925
214,213,-107.3673002,34.0833851,70.2387924,76.9917755
215,214,-106.7505711,32.3334326,175.2921906,232.5895844
216,215,-107.0538912,34.0800867,34.060421,36.8115005
217,216,-109.0006338,32.3668209,59.6626587,60.1219215
218,217,-107.0272901,34.0200882,34.8006172,45.7116318
219,218,-108.91263,32.1669268,72.9264374,208.2379303
220,219,-107.2506055,35.2833582,39.2299423,34.0021286
221,220,-106.9338869,33.9500904,73.7202148,75.7452927
222,221,-108.4806341,34.4100717,34.4500008,34.5418396
223,222,-108.8376276,32.1102288,153.6448364,276.999939
224,223,-106.967282,33.0834118,33.3416672,37.4764786
225,224,-108.89763,32.2230253,45.8774681,158.4569244
226,225,-107.1987849,32.5353251,40.4130821,51.5784607
227,226,-107.1830976,34.463577,42.6916656,43.2108459
228,227,-107.3227877,32.4296273,67.3083344,62.0511627
229,228,-108.8666273,31.9563329,49.1781578,51.7054482
230,229,-108.8356258,31.8582358,58.4448357,55.9750595
231,230,-107.4938927,32.4584258,72.1190262,68.0176239
232,231,-108.2428114,32.1441307,49.1489334,47.0397682
233,232,-108.5006209,32.5001198,37.2246742,40.318222
234,233,-107.5129,33.4732993,57.9749985,56.6781082
